caseid,ClintonTherm,RConserv,ClintonConserv,PID,GOP
1641,85,2,3,1,0
1642,70,5,5,1,0
1644,0,5,4,3,0
1645,70,4,4,1,0
1646,15,6,2,2,1
1647,100,1,3,1,0
1649,15,6,2,2,1
1650,60,3,2,1,0
1652,60,4,1,3,0
1654,60,3,4,1,0
1655,0,6,1,2,1
1656,30,2,4,2,1
1657,40,5,2,3,0
1658,15,4,1,2,1
1659,30,4,2,2,1
1660,60,4,4,3,0
1661,60,3,3,1,0
1662,85,2,2,3,0
1663,40,6,3,2,1
1664,50,7,5,3,0
1665,30,5,3,3,0
1666,70,4,2,3,0
1668,85,3,3,1,0
1669,85,4,3,1,0
1670,60,2,3,5,0
1671,65,5,2,3,0
1672,70,3,4,1,0
1673,85,4,5,1,0
1676,15,4,2,2,1
1678,60,4,6,1,0
1680,85,2,4,1,0
1681,5,6,1,2,1
1682,60,4,5,1,0
1683,100,2,2,1,0
1684,70,5,4,2,1
1685,30,6,2,2,1
1686,15,7,3,2,1
1687,70,2,3,1,0
1688,70,1,4,1,0
1690,85,3,5,1,0
1691,0,4,1,2,1
1692,70,3,5,2,1
1694,30,4,2,2,1
1695,85,4,3,1,0
1696,70,6,4,1,0
1697,70,5,3,3,0
1698,60,4,4,3,0
1699,60,5,2,3,0
1700,70,4,4,1,0
1701,15,6,2,2,1
1702,10,6,2,2,1
1706,70,4,2,1,0
1707,70,4,5,5,0
1708,65,4,2,1,0
1709,40,6,2,3,0
1710,100,4,7,1,0
1711,100,4,4,1,0
1712,60,4,2,3,0
1714,30,5,2,3,0
1715,0,5,2,3,0
1717,0,6,1,3,0
1718,0,6,1,2,1
1719,15,5,2,3,0
1720,60,4,1,3,0
1721,40,5,2,3,0
1722,85,2,2,1,0
1723,40,6,2,2,1
1724,0,6,1,2,1
1725,60,3,4,3,0
1726,0,7,1,3,0
1727,50,6,2,2,1
1728,85,2,2,1,0
1729,50,2,1,2,1
1730,100,4,5,1,0
1732,70,3,4,5,0
1734,85,4,5,1,0
1735,70,6,4,1,0
1736,70,2,4,1,0
1737,85,5,3,1,0
1739,60,4,4,2,1
1742,0,6,2,2,1
1743,50,4,5,1,0
1744,30,5,4,3,0
1745,30,6,1,2,1
1746,85,4,2,3,0
1747,70,5,4,1,0
1749,85,4,4,3,0
1750,70,4,3,3,0
1751,30,4,3,2,1
1752,65,1,4,4,0
1753,85,3,3,1,0
1754,40,3,3,3,0
1755,40,5,2,2,1
1757,48,5,2,2,1
1758,0,7,1,2,1
1761,65,4,4,3,0
1762,60,4,3,3,0
1763,40,6,2,2,1
1764,35,5,3,3,0
1765,60,4,3,2,1
1766,85,3,2,1,0
1767,0,6,2,2,1
1768,30,6,3,3,0
1769,85,4,5,1,0
1771,60,5,3,3,0
1772,60,6,2,3,0
1773,30,5,4,1,0
1774,70,4,3,3,0
1775,60,4,2,3,0
1776,15,6,2,3,0
1777,85,2,4,1,0
1778,70,3,2,1,0
1781,85,3,4,5,0
1783,85,4,4,1,0
1785,85,4,6,1,0
1786,75,4,5,1,0
1787,100,5,7,1,0
1791,100,2,2,1,0
1792,0,1,1,4,0
1793,100,4,4,3,0
1794,85,4,4,1,0
1795,100,4,6,1,0
1796,70,5,5,2,1
1798,100,4,7,1,0
1800,15,6,3,2,1
1801,40,6,2,5,0
1802,70,1,4,1,0
1803,85,4,2,3,0
1804,100,6,6,1,0
1805,85,4,3,3,0
1807,85,4,3,5,0
1808,85,3,2,1,0
1809,70,3,4,1,0
1811,70,4,6,3,0
1812,50,5,5,3,0
1813,70,4,3,3,0
1814,70,4,2,2,1
1815,85,2,3,1,0
1816,15,4,2,3,0
1817,80,3,2,1,0
1819,0,4,1,3,0
1820,84,2,3,1,0
1821,85,4,2,1,0
1822,30,6,1,2,1
1823,60,6,3,3,0
1824,70,4,3,3,0
1825,85,4,6,1,0
1826,70,5,5,1,0
1828,15,6,2,2,1
1832,70,3,2,3,0
1834,60,4,3,1,0
1835,40,4,3,2,1
1837,60,4,2,3,0
1839,75,4,4,5,0
1840,0,6,1,2,1
1842,80,4,4,3,0
