dyadid,logdisputes,logtrade,IOs,contiguity,capratio,GDPgrowth
2020,1.0986123,9.9249697,56.54285714285714,1,16.00828565870012,1.5725714
2041,0,4.5643482,38.30735294117647,0,481.7968054199219,-.4664
2042,0,5.9914646,40.78787878787879,0,384.6121211196437,.8669697
2051,-.69314718,5.7838249,28.25735294117647,0,954.0924886067709,.22166666
2052,-.69314718,6.3829436,32.86176470588236,0,1207.892921447754,.13291663
2070,0,8.3414783,52.22857142857143,1,25.36257138933454,1.3094286
2090,.69314718,5.6637774,38.31566555431962,0,391.3247083776137,.75
2091,-.69314718,5.3273048,33.6764705882353,0,901.5620539048139,.64647055
2092,-.69314718,5.3936276,33.58333333333334,0,659.9296630859375,1.4283333
2093,1.9459101,5.1691055,36.74242424242424,0,868.8860589229699,.63696969
2094,-.69314718,5.3805556,35.12857142857143,0,1699.895141601563,1.0822856
2095,0,5.5041695,39.88571428571429,1,1024.525142124721,1.1634285
2100,-.69314718,6.9899936,42.62857142857143,0,62.75599986485073,1.05
2101,-.69314718,7.9773798,43.45714285714286,0,86.0928568158831,.49771428
2110,-.69314718,2.9957321,22.69901960784314,0,2458.444982910156,-1.704
2130,2.1972246,5.8034124,41.82857142857143,0,253.3425718035017,1.0834285
2135,1.3862944,6.546742,44.53030303030303,0,93.36909045595111,.75878787
2140,-.69314718,7.8193293,50.89705882352941,0,14.06029406715842,.78676468
2145,-.69314718,4.636919,35.54838709677419,0,321.3899988974295,.29870969
2150,-.69314718,1.7429694,35.45714285714286,0,656.0619986397879,.35514283
2155,0,6.4614682,43.12857142857143,0,84.96342849731445,.35514283
2160,-.69314718,6.6301236,50.10606060606061,0,29.64121223218513,.35666665
2165,-.69314718,4.8629994,41.33823529411764,0,310.7070563821231,-.25176471
2200,-.69314718,8.539793,62.37142857142857,0,6.515714291163853,1.6362857
2205,-.69314718,5.5041695,32.72857142857142,0,273.3354298182896,1.3968571
2210,-.69314718,7.7784505,55,0,34.03314279828753,1.4782857
2211,-.69314718,7.5951719,47.74285714285714,0,30.3988573891776,1.5294286
2212,-.69314718,7.5951719,32.3,0,125.6357151576451,.70314288
2220,-.69314718,7.9655457,62.37142857142857,0,7.870857102530343,1.7371428
2225,.69314718,7.0805073,38.85714285714285,0,114.1914284842355,1.2308571
2230,-.69314718,6.9014859,47.265625,0,18.44156266748905,1.5084375
2235,-.69314718,5.6084723,39.78787878787879,0,96.85515201453006,1.7003031
2260,-.69314718,8.6130896,50.90322580645162,0,5.681290380416378,1.6816128
2265,1.3862944,2.9311938,11.453125,0,21.22968761622906,1.68125
2290,0,5.5041695,33.42857142857143,0,13.36457140786307,.55342859
2305,0,5.4196782,42.46774193548387,0,56.74096796589513,1.7548387
2310,0,-.69314718,28.08823529411765,0,44.5976468815523,1.6032352
2315,1.7917595,2.8705692,30.05882352941176,0,20.57529421413646,.89470589
2325,-.69314718,7.8763671,50.95714285714286,0,10.99028575079782,1.7171428
2345,-.69314718,5.9449444,39.00288978494623,0,31.95181829279119,1.5260606
2350,1.0986123,5.8828306,40.44117647058823,0,72.21999987433938,1.7920588
2352,-.69314718,-.69314718,27.75,0,1460.341995239258,.1855
2355,0,-.69314718,21.7,0,59.51800003051758,1.5966667
2360,0,4.6975436,29.5,0,27.21870957651446,1.8251612
2365,3.4965076,6.0867748,32.74285714285713,1,1.315428566932678,1.4028572
2375,-.69314718,5.4065309,41.05714285714286,0,125.9405711582729,1.6154286
2380,-.69314718,6.8367195,45.82857142857143,0,41.87114325932094,1.4331429
2385,-.69314718,6.3073173,48.60000000000001,0,106.9694280896868,1.8197143
2390,-.69314718,6.1973166,48.51428571428572,0,105.6931428091867,1.3754286
