name,state,district,votesum,pctbl96,unionpct,clint96,GOPmember,ADA98
taylor,MS,5,4,20,.083870478,35,0,30
hill,MT,1,3,0,.18021646,41,1,10
clayton,NC,1,0,57,.059676126,63,0,100
etheridge,NC,2,0,22,.050868992,42,0,80
jones,NC,3,4,22,.060237624,40,1,5
price,NC,4,0,20,.044215355,49,0,95
burr,NC,5,2,15,.056980468,41,1,5
coble,NC,6,4,7,.059273168,33,1,10
mcintyre,NC,7,0,19,.059836216,44,0,60
hefner,NC,8,0,23,.061190493,43,0,90
myrick,NC,9,4,9,.062065788,38,1,5
ballenger,NC,10,4,5,.054734461,31,1,5
taylor,NC,11,4,7,.061848916,43,1,5
watt,NC,12,0,57,.058086436,69,0,100
pomeroy,ND,1,0,0,.10789907,40,0,90
bereuter,NE,1,3,1,.112562,38,1,5
chistensen,NE,2,4,10,.12517285,38,1,0
barrett,NE,3,4,0,.092992306,29,1,15
sununu,NH,1,4,1,.11230768,48,1,0
bass,NH,2,3,1,.10980311,50,1,10
andrews,NJ,1,0,16,.20524491,59,0,95
lobiando,NJ,2,3,14,.23273386,50,1,30
saxton,NJ,3,3,8,.20885363,50,1,25
smith,NJ,4,4,12,.22567044,51,1,25
roukema,NJ,5,4,1,.2119913,42,1,20
pallone,NJ,6,0,11,.213577,54,0,100
franks,NJ,7,3,10,.22126874,51,1,25
pascrell,NJ,8,0,13,.22159693,58,0,95
rothman,NJ,9,0,6,.25335699,60,0,100
payne,NJ,10,0,60,.25562692,82,0,90
frelinghuysen,NJ,11,3,3,.22223487,42,1,10
pappas,NJ,12,4,5,.22433615,48,1,5
menendez,NJ,13,0,14,.24370299,71,0,95
wilson,NM,1,4,3,.095053002,48,1,0
skeen,NM,2,4,2,.085679919,46,1,10
redmon,NM,3,4,1,.087423831,52,1,10
ensign,NV,1,2,10,.22133094,51,1,25
gibbons,NV,2,3,3,.17845614,39,1,20
forbes,NY,1,4,4,.27318853,51,1,65
lazio,NY,2,2,10,.27318853,54,1,40
king,NY,3,0,2,.27318853,53,1,10
mccarthy,NY,4,0,16,.27318853,56,0,90
ackerman,NY,5,0,3,.30872899,60,0,100
meeks,NY,6,0,56,.32139292,85,0,85
manton,NY,7,0,10,.32139292,68,0,85
nadler,NY,8,0,8,.32139292,77,0,100
schumer,NY,9,0,3,.32139292,66,0,85
towns,NY,10,0,61,.32139292,90,0,95
owens,NY,11,0,74,.32139292,90,0,100
velazquez,NY,12,0,14,.32139292,85,0,90
fossella,NY,13,3,6,.32139292,51,1,0
maloney,NY,14,0,5,.32139292,70,0,100
rangel,NY,15,0,47,.32139292,91,0,90
serrano,NY,16,0,43,.32139292,94,0,90
engel,NY,17,0,42,.32139292,85,0,95
lowey,NY,18,0,7,.32139292,58,0,100
kelly,NY,19,2,7,.29198331,48,1,45
gilman,NY,20,2,8,.30771807,54,1,45
mcnulty,NY,21,0,6,.2834731,57,0,75
solomon,NY,22,4,2,.25925508,45,1,5
boehlert,NY,23,2,3,.25978267,46,1,60
mchugh,NY,24,2,3,.27209938,49,1,25
walsh,NY,25,3,7,.24845396,51,1,30
hinchey,NY,26,0,6,.23983234,51,0,100
paxon,NY,27,4,2,.22641869,43,1,0
slaughter,NY,28,0,14,.14921458,55,0,100
lafalce,NY,29,0,4,.24471281,51,0,85
quinn,NY,30,3,17,.29339239,57,1,30
houghton,NY,31,0,2,.26893884,44,1,30
chabot,OH,1,4,30,.17425534,50,1,0
portman,OH,2,3,2,.17750962,34,1,5
hall,OH,3,0,18,.17171465,50,0,75
oxley,OH,4,4,5,.2505894,50,1,5
gillmor,OH,5,3,2,.25312009,42,1,5
strickland,OH,6,0,2,.21911803,44,0,85
hobson,OH,7,2,5,.18495122,41,1,5
boehner,OH,8,4,3,.18530443,37,1,0
kaptur,OH,9,0,12,.2901974,55,0,80
kucinich,OH,10,0,2,.2167514,51,0,90
stokes,OH,11,0,59,.2167514,79,0,100
kasich,OH,12,3,23,.15440868,47,1,0
brown,OH,13,0,4,.22288334,46,0,100
sawyer,OH,14,0,11,.21337754,53,0,95
pryce,OH,15,2,5,.15440868,44,1,5
regula,OH,16,2,5,.24618596,43,1,20
traficant,OH,17,0,10,.30966711,58,0,45
ney,OH,18,2,2,.22418077,47,1,15
latourette,OH,19,3,2,.21800661,48,1,50
largent,OK,1,3,10,.11241353,37,1,10
coburn,OK,2,4,5,.10548411,47,1,5
watkins,OK,3,4,4,.10117234,47,1,5
watts,OK,4,4,7,.099550612,40,1,10
istook,OK,5,4,6,.10645447,31,1,0
lucas,OK,6,4,13,.10506733,41,1,0
furse,OR,1,0,1,.18262437,50,0,90
smith,OR,2,4,0,.22147766,38,1,5
blumenauer,OR,3,0,6,.17933477,58,0,95
defazio,OR,4,0,0,.21523272,45,0,95
hooley,OR,5,0,1,.21361713,47,0,95
brady,PA,1,0,52,.20524491,83,0,50
fattah,PA,2,0,62,.20524491,86,0,95
borski,PA,3,0,5,.20524491,61,0,90
klink,PA,4,0,3,.21807355,47,0,80
peterson,PA,5,4,1,.21325842,40,1,0
holden,PA,6,0,2,.2065184,42,0,70
weldon,PA,7,3,4,.20524491,45,1,25
greenwood,PA,8,2,3,.20524491,45,1,25
shuster,PA,9,2,1,.227404,36,1,10
mcdade,PA,10,4,1,.21303679,45,1,20
kanjorski,PA,11,0,1,.22727473,48,0,85
murtha,PA,12,0,1,.23432216,46,0,75
fox,PA,13,4,6,.2052449,50,1,40
coyne,PA,14,0,18,.21490121,59,0,100
mchale,PA,15,3,2,.21080555,46,0,80
pitts,PA,16,4,5,.18069418,37,1,0
gekas,PA,17,4,7,.1529997,37,1,10
doyle,PA,18,0,8,.21490121,52,0,80
goodling,PA,19,4,3,.15745828,38,1,5
mascara,PA,20,0,3,.21501751,50,0,85
english,PA,21,1,4,.2289176,49,1,35
kennedy,RI,1,0,3,.19776104,61,0,95
weygand,RI,2,0,4,.19962396,59,0,90
sanford,SC,1,3,20,.059979603,38,1,20
spence,SC,2,4,25,.048209969,41,1,5
graham,SC,3,3,21,.047300883,39,1,15
inglis,SC,4,4,20,.025667509,37,1,5
spratt,SC,5,0,31,.045846105,46,0,85
clyburn,SC,6,0,62,.051401425,65,0,95
thune,SD,1,3,0,.083581142,43,1,5
jenkins,TN,1,3,2,.13306628,37,1,5
duncan,TN,2,4,6,.12902336,42,1,15
wamp,TN,3,4,12,.13388667,46,1,15
hilleary,TN,4,4,4,.12309126,46,1,5
clement,TN,5,0,23,.099611513,55,0,85
gordon,TN,6,0,6,.10192533,45,0,90
bryant,TN,7,4,12,.11289815,41,1,0
tanner,TN,8,0,20,.11411412,50,0,60
ford,TN,9,0,59,.1141329,71,0,80
sandlin,TX,1,0,18,.061292958,45,0,80
turner,TX,2,0,17,.077201173,45,0,65
"johnson, sam",TX,3,4,7.4000001,.074881077,32,1,0
hall,TX,4,3,8,.059727568,35,0,15
sessions,TX,5,4,15.8,.059765667,46,1,0
barton,TX,6,4,5.0999999,.077114888,33,1,5
archer,TX,7,4,6.0999999,.066210978,28,1,0
brady,TX,8,4,5.0999999,.065952338,27,1,0
lampson,TX,9,0,21.700001,.075826295,48,0,90
doggett,TX,10,0,11,.054257173,54,0,100
edwards,TX,11,0,16,.053915776,42,0,90
granger,TX,12,3,8,.10288734,46,1,5
thornberry,TX,13,3,8,.05999501,39,1,5
paul,TX,14,4,11,.060684204,42,1,20
hinijosa,TX,15,0,1,.071535975,60,0,95
reyes,TX,16,0,4,.082319722,63,0,80
stenholm,TX,17,3,4,.061096072,39,0,50
jackson-lee,TX,18,0,44.700001,.066210978,73,0,95
combest,TX,19,4,2,.060166564,26,1,0
gonzalez,TX,20,0,6,.055158287,60,0,20
smith,TX,21,4,3,.056276791,30,1,0
delay,TX,22,4,12.7,.067320786,38,1,0
bonilla,TX,23,3,3,.063456312,50,1,10
frost,TX,24,0,20.4,.075588346,54,0,95
bentsen,TX,25,0,23,.066210978,51,0,95
armey,TX,26,4,5.4000001,.073691808,30,1,0
ortiz,TX,27,0,2,.067697071,57,0,70
rodriguez,TX,28,0,9,.055896893,63,0,100
green,TX,29,0,15.4,.066210978,61,0,95
"johnson, e",TX,30,0,44.5,.059400395,70,0,90
hansen,UT,1,4,1,.10481015,29,1,5
cook,UT,2,4,1,.10633393,41,1,15
cannon,UT,3,4,0,.10136888,29,1,5
bateman,VA,1,4,18,.08997418,40,1,5
pickett,VA,2,0,17,.083234504,44,0,55
scott,VA,3,0,64,.08489415,72,0,95
sisisky,VA,4,0,32,.084499389,46,0,65
goode,VA,5,3,25,.083234504,43,0,30
goodlatte,VA,6,4,11,.086065479,41,1,0
bliley,VA,7,4,10,.08614821,35,1,0
moran,VA,8,0,13,.1172852,55,0,75
boucher,VA,9,0,2,.09125042,46,0,95
wolfe,VA,10,4,6,.11322821,38,1,10
davis,VA,11,3,8,.1207294,48,1,15
sanders,VT,1,0,0,.11286741,53,0,100
white,WA,1,3,1,.24215885,51,1,20
metcalf,WA,2,4,1,.23755528,47,1,20
"smith, linda",WA,3,4,1,.24139236,49,1,15
hastings,WA,4,4,1,.23780116,40,1,0
nethercutt,WA,5,3,1,.21269612,44,1,0
dicks,WA,6,0,5,.24395029,50,0,95
mcdermott,WA,7,0,10,.2425779,67,0,90
dunn,WA,8,4,2,.2440456,47,1,0
"smith, adam",WA,9,0,5,.24303575,41,0,100
neumann,WI,1,4,5,.21476363,50,1,15
klug,WI,2,2,2,.1925945,55,1,20
kind,WI,3,0,0,.19295382,50,0,85
kleczka,WI,4,0,1,.22388212,49,0,90
barrett,WI,5,0,35,.22388212,63,0,95
petri,WI,6,3,0,.20524116,45,1,15
obey,WI,7,0,0,.20041782,49,0,95
"johnson, j",WI,8,0,0,.20198625,46,0,95
sensenbrenner,WI,9,4,0,.21022934,37,1,5
mollohan,WV,1,0,2,.21630709,49,0,70
wise,WV,2,0,3,.17568105,49,0,80
rahall,WV,3,0,4,.1981201,58,0,85
cubin,WY,1,4,0,.12496145,37,1,5
