caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT,candid,vote,FT,clintondummy,perotdummy,PIDxClinton,PIDxPerot,partisan,bushdummy,PIDxBush,votehat,altvotehat
5145,2,1,76,10,1,1,50,85,50,3,0,50,0,1,0,1,minor,0,0,.025422186,.98017526
5146,2,1,77,9,1,1,30,85,100,1,0,30,0,0,0,0,major,1,1,.0021825274,.86871278
5146,2,1,77,9,1,1,30,85,100,2,1,85,1,0,1,0,major,0,0,.6174891,.99946612
5146,2,1,77,9,1,1,30,85,100,3,0,100,0,1,0,1,minor,0,0,.38032839,.99913347
5148,2,2,37,14,1,1,15,60,15,1,0,15,0,0,0,0,major,1,2,.01206828,.72007072
5148,2,2,37,14,1,1,15,60,15,2,1,60,1,0,2,0,major,0,0,.96681869,.99517083
5148,2,2,37,14,1,1,15,60,15,3,0,15,0,1,0,2,minor,0,0,.021113005,.81818831
5150,2,1,82,14,0,1,0,60,50,1,0,0,0,0,0,0,major,1,1,.0022826002,.5
5150,2,1,82,14,0,1,0,60,50,2,1,60,1,0,1,0,major,0,0,.88486093,.99742705
5150,2,1,82,14,0,1,0,60,50,3,0,50,0,1,0,1,minor,0,0,.11285644,.98017526
5151,1,6,33,22,0,1,40,15,0,1,1,40,0,0,0,0,major,1,6,.8747834,.92549759
5151,1,6,33,22,0,1,40,15,0,2,0,15,1,0,6,0,major,0,0,.068087406,.49157983
5151,1,6,33,22,0,1,40,15,0,3,0,0,0,1,0,6,minor,0,0,.057129171,.44789946
5152,1,5,36,15,1,1,60,60,15,1,1,60,0,0,0,0,major,1,5,.56662691,.97767019
5152,1,5,36,15,1,1,60,60,15,2,0,60,1,0,5,0,major,0,0,.40064546,.96870875
5152,1,5,36,15,1,1,60,60,15,3,0,15,0,1,0,5,minor,0,0,.032727625,.71662241
