caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT,candid,vote,FT,clintondummy,perotdummy,PIDxClinton,PIDxPerot,partisan,bushdummy,PIDxBush,votehat,altvotehat
5371,3,7,66,18,0,1,70,40,50,3,1,50,0,1,0,7,minor,0,0,.15567335,.93980575
5372,1,7,29,17,1,1,100,30,0,1,1,100,0,0,0,0,major,1,7,.9963516,.99816477
5372,1,7,29,17,1,1,100,30,0,2,0,30,1,0,7,0,major,0,0,.0024220303,.56936389
5372,1,7,29,17,1,1,100,30,0,3,0,0,0,1,0,7,minor,0,0,.0012263851,.40100512
5374,3,6,30,18,1,1,70,40,60,1,0,70,0,0,0,0,major,1,6,.67162222,.98798043
5374,3,6,30,18,1,1,70,40,60,2,0,40,1,0,6,0,major,0,0,.03815186,.8236106
5374,3,6,30,18,1,1,70,40,60,3,1,60,0,1,0,6,minor,0,0,.29022592,.97261757
5375,3,5,29,12,0,1,50,40,60,1,0,50,0,0,0,0,major,1,5,.31033957,.95888412
5375,3,5,29,12,0,1,50,40,60,2,0,40,1,0,5,0,major,0,0,.11688236,.89778721
5375,3,5,29,12,0,1,50,40,60,3,1,60,0,1,0,5,minor,0,0,.57277805,.97729504
5376,3,3,21,4,0,1,30,50,40,1,0,30,0,0,0,0,major,1,3,.079814933,.86871278
5376,3,3,21,4,0,1,30,50,40,2,0,50,1,0,3,0,major,0,0,.70386118,.98315138
5376,3,3,21,4,0,1,30,50,40,3,1,40,0,1,0,3,minor,0,0,.2163239,.94718462
5377,2,1,80,20,0,0,40,85,0,1,0,40,0,0,0,0,major,1,1,.0065844739,.92549759
5377,2,1,80,20,0,0,40,85,0,2,1,85,1,0,1,0,major,0,0,.99229181,.99946612
5377,2,1,80,20,0,0,40,85,0,3,0,0,0,1,0,1,minor,0,0,.0011237154,.67948937
5379,2,3,37,11,1,1,0,70,15,1,0,0,0,0,0,0,major,1,3,.0047533484,.5
5379,2,3,37,11,1,1,0,70,15,2,1,70,1,0,3,0,major,0,0,.97759455,.99516124
5379,2,3,37,11,1,1,0,70,15,3,0,15,0,1,0,3,minor,0,0,.01765207,.78784823
5380,2,3,43,21,0,1,40,60,0,1,0,40,0,0,0,0,major,1,3,.10065546,.92549759
5380,2,3,43,21,0,1,40,60,0,2,1,60,1,0,3,0,major,0,0,.88764679,.99095422
5380,2,3,43,21,0,1,40,60,0,3,0,0,0,1,0,3,minor,0,0,.011697725,.59078008
5381,1,7,83,9,1,1,100,50,50,1,1,100,0,0,0,0,major,1,7,.96406573,.99816477
5381,1,7,83,9,1,1,100,50,50,2,0,50,1,0,7,0,major,0,0,.0082599251,.82332027
5381,1,7,83,9,1,1,100,50,50,3,0,50,0,1,0,7,minor,0,0,.027674334,.93980575
5384,2,1,64,22,0,0,0,85,15,1,0,0,0,0,0,0,major,1,1,.00053233147,.5
5384,2,1,64,22,0,0,0,85,15,2,1,85,1,0,1,0,major,0,0,.99656463,.99946612
5384,2,1,64,22,0,0,0,85,15,3,0,15,0,1,0,1,minor,0,0,.0029030149,.84504282
5385,2,3,60,14,0,1,30,85,60,1,0,30,0,0,0,0,major,1,3,.011049093,.86871278
5385,2,3,60,14,0,1,30,85,60,2,1,85,1,0,3,0,major,0,0,.88340306,.99811333
5385,2,3,60,14,0,1,30,85,60,3,0,60,0,1,0,3,minor,0,0,.10554788,.98442578
5386,3,4,36,7,1,1,50,0,100,1,0,50,0,0,0,0,major,1,4,.034673207,.95888412
5386,3,4,36,7,1,1,50,0,100,2,0,0,1,0,4,0,major,0,0,.0019775135,.57083243
5386,3,4,36,7,1,1,50,0,100,3,1,100,0,1,0,4,minor,0,0,.96334928,.99845904
5387,3,4,51,20,0,1,0,0,100,1,0,0,0,0,0,0,major,1,4,.0015377828,.5
5387,3,4,51,20,0,1,0,0,100,2,0,0,1,0,4,0,major,0,0,.0020453928,.57083243
5387,3,4,51,20,0,1,0,0,100,3,1,100,0,1,0,4,minor,0,0,.99641681,.99845904
5388,2,1,39,18,1,1,40,85,40,1,0,40,0,0,0,0,major,1,1,.0065010302,.92549759
5388,2,1,39,18,1,1,40,85,40,2,1,85,1,0,1,0,major,0,0,.97971666,.99946612
5388,2,1,39,18,1,1,40,85,40,3,0,40,0,1,0,1,minor,0,0,.013782322,.96341783
5390,2,3,64,1,1,1,50,85,70,1,0,50,0,0,0,0,major,1,3,.034755029,.95888412
5390,2,3,64,1,1,1,50,85,70,2,1,85,1,0,3,0,major,0,0,.78840142,.99811333
5390,2,3,64,1,1,1,50,85,70,3,0,70,0,1,0,3,minor,0,0,.17684355,.99164343
5391,2,7,35,7,1,0,85,70,60,1,0,85,0,0,0,0,major,1,7,.82216191,.99529278
5391,2,7,35,7,1,0,85,70,60,2,1,70,1,0,7,0,major,0,0,.063864015,.94260859
5391,2,7,35,7,1,0,85,70,60,3,0,60,0,1,0,7,minor,0,0,.11397406,.96700895
5392,1,6,33,19,0,1,50,30,30,1,1,50,0,0,0,0,major,1,6,.74804318,.95888412
5392,1,6,33,19,0,1,50,30,30,2,0,30,1,0,6,0,major,0,0,.079775319,.71323109
5392,1,6,33,19,0,1,50,30,30,3,0,30,0,1,0,6,minor,0,0,.17218152,.8429659
5393,1,7,75,16,0,1,85,30,0,1,1,85,0,0,0,0,major,1,7,.99066859,.99529278
5393,1,7,75,16,0,1,85,30,0,2,0,30,1,0,7,0,major,0,0,.006194728,.56936389
5393,1,7,75,16,0,1,85,30,0,3,0,0,0,1,0,7,minor,0,0,.0031366751,.40100512
5397,1,7,50,24,1,1,85,50,50,1,1,85,0,0,0,0,major,1,7,.91250849,.99529278
5397,1,7,50,24,1,1,85,50,50,2,0,50,1,0,7,0,major,0,0,.020110982,.82332027
5397,1,7,50,24,1,1,85,50,50,3,0,50,0,1,0,7,minor,0,0,.067380518,.93980575
5398,3,1,37,15,0,1,50,60,70,1,0,50,0,0,0,0,major,1,1,.039849658,.95888412
5398,3,1,37,15,0,1,50,60,70,2,0,60,1,0,1,0,major,0,0,.66238964,.99742705
5398,3,1,37,15,0,1,50,60,70,3,1,70,0,1,0,1,minor,0,0,.2977607,.99429423
5402,1,3,76,4,1,1,70,0,0,1,1,70,0,0,0,0,major,1,3,.9541955,.98798043
5402,1,3,76,4,1,1,70,0,0,2,0,0,1,0,3,0,major,0,0,.029045507,.71445501
5402,1,3,76,4,1,1,70,0,0,3,0,0,0,1,0,3,minor,0,0,.016758984,.59078008
5403,2,1,55,1,1,1,60,85,50,1,0,60,0,0,0,0,major,1,1,.022278119,.97767019
5403,2,1,55,1,1,1,60,85,50,2,1,85,1,0,1,0,major,0,0,.95256436,.99946612
5403,2,1,55,1,1,1,60,85,50,3,0,50,0,1,0,1,minor,0,0,.025157502,.98017526
5404,2,1,56,11,0,1,70,70,50,1,0,70,0,0,0,0,major,1,1,.095643759,.98798043
