country,ccode,year,exptorev,lnpop,lngnp,lnimports,lnexports,democracy
HUNGARY,62,1982,1.0344857,9.2719994,8.3941212,-0.87634915,-0.72753161,-7
HUNGARY,62,1983,1.0139743,9.268609,8.4792833,-0.90164846,-0.7273246,-7
HUNGARY,62,1984,0.97616899,9.2652073,8.5642672,-0.91006017,-0.71008986,-7
HUNGARY,62,1985,1.0199926,9.2617941,8.6492739,-0.90140218,-0.8703618,-7
HUNGARY,62,1986,1.0489426,9.2583685,8.7342386,-0.76185435,-0.87083948,-7
HUNGARY,62,1987,1.0737699,9.2550268,8.8192215,-0.69035113,-0.56457806,-7
HUNGARY,62,1988,1.0026165,9.2515783,7.8038435,-0.50982612,-0.25825271,-2
HUNGARY,62,1989,1.0337243,9.2471542,7.8477626,-0.32933778,0.048123233,0
HUNGARY,62,1990,0.98451078,9.2459974,7.9302063,-0.1488481,-0.088721953,10
HUNGARY,62,1991,1.0334626,9.2435818,7.9193563,-0.09805394,-0.03169708,10
HUNGARY,62,1992,1.0931722,9.2411604,8.0149965,0.010742101,0.69299716,10
HUNGARY,62,1993,1.0606321,9.239996,8.1107273,0.19392069,-0.20837808,10
HUNGARY,62,1994,1.0290675,9.2361059,8.2063103,0.1225715,-0.26814091,10
BELGIUM,80,1950,1.2057586,9.0640421,6.6982679,-1.6388668,-1.7999933,10
BELGIUM,80,1951,1.0594711,9.0685463,6.7499313,-1.3723913,-1.3284029,10
BELGIUM,80,1952,1.1594735,9.0745211,6.7990561,-1.408949,-1.40854,10
BELGIUM,80,1953,1.22887,9.0800037,6.84588,-1.4217143,-1.4872203,10
BELGIUM,80,1954,1.2619619,9.0846634,6.8906093,-1.3723913,-1.4696759,10
BELGIUM,80,1955,1.2551659,9.0902042,6.933423,-1.2623084,-1.2815741,10
BELGIUM,80,1956,0.91489017,9.0964994,6.9744787,-1.116878,-1.1513804,10
BELGIUM,80,1957,1.0129145,9.1037569,7.0139155,-1.0694419,-1.1438189,10
BELGIUM,80,1958,1.1183779,9.1108513,7.0518556,-1.160275,-1.1861328,10
BELGIUM,80,1959,1.2178364,9.1164694,7.075809,-1.0636313,-1.1065437,10
BELGIUM,80,1960,1.2590128,9.1218367,7.0992017,-0.92407089,-0.96995527,10
BELGIUM,80,1961,1.1361123,9.1252184,7.2413664,-0.86203927,-0.93394566,10
